OBJECTID,Tract,ZIP,Population,CIscore4,CIscoreP4,Pollution,Pollution Score,Pollution Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Characteristics,Pop. Characteristics Score,Pop. Characteristics Pctl,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_American,Native_American,Asian_American,Pacific_Islander,Other_Multiple,County,City,AB1500,CES3_DAC,CES4_DAC,CES_Any_DAC,CES_AnyAnd_AB1550,tracttxt,HTCTop2,HTCTop,HTCTop2_and_CES_DAC,Shape__Area,Shape__Length,x,y
7090,6037212800,90019,3543,42.94404248,79.4125063,52.74805676,6.440527253,77.46110765,17.8,61.09845609,17.1,81.55366085,29.8,53.61809045,5.5,51.26236335,23.6,75.98225602,64.27863499,6.667783677,71.8734241,8.4674,73.7793,17.7533,32.035,19.4468,14.1123,0.3387,27.2933,0,6.7739,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037212800,Yes,No,Yes,778816.9206047058,3576.36111631272,,
7091,6037213100,90019,3014,37.21993352,70.81442259,47.31204223,5.776790958,63.11138768,23.1,70.08352316,37.3,98.20002707,50.1,81.90954774,3.5,23.7506507,31.1,92.19264892,62.11179566,6.44301201,68.89813414,13.3378,72.3623,14.2999,32.8467,7.5979,11.4798,0,47.8766,0,0.1991,Los Angeles,Los Angeles,Yes,Yes,No,Yes,Yes,6037213100,Yes,Yes,Yes,536219.3531570435,3201.2316139774166,,
7092,6037213202,90006,3942,45.83612048,83.04336863,48.68647842,5.944609344,66.9695084,36.1,86.35788408,43.2,98.97144404,58.8,90.74120603,7.4,70.90057262,23.6,75.98225602,74.33094882,7.710535347,85.7917297,11.2126,75.8498,12.9376,68.3409,3.2725,0.6596,0,25.7737,0,1.9533,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037213202,Yes,Yes,Yes,337845.5839805603,2481.4825419074577,,
7093,6037213402,90006,4857,44.16842253,81.03883006,50.56614503,6.174116264,71.78593653,34.9,85.18096684,33.4,96.9955339,58.7,90.69095477,6.6,63.41749089,26.2,83.07984791,68.96396606,7.153804794,78.80736258,14.6181,76.364,9.0179,68.252,5.0031,5.209,0,20.6918,0.0206,0.8236,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037213402,Yes,Yes,Yes,394855.3334350586,2530.228598409919,,
7094,6037213401,90006,4859,40.55216222,75.9329299,47.79293022,5.835507286,64.3932794,38.8,89.0534042,43.1,98.94437678,59,90.94221106,6.2,59.38313378,37,97.41444867,66.99162985,6.949209423,75.8698941,12.554,79.9136,7.5324,70.673,5.5155,2.7166,0,20.9097,0,0.1852,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037213401,Yes,Yes,Yes,193318.69622802734,1927.2087357476748,,
7095,6037213310,90006,3015,47.147206,84.61926374,50.24792013,6.135261067,70.96453018,38.3,88.57251329,39.5,98.48423332,49.5,81.14321608,3.7,26.86100989,24.9,79.9112801,74.08120835,7.684629144,85.45133636,11.0779,77.8773,11.0448,64.3449,2.0232,2.2222,0.7629,30.6468,0,0,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037213310,Yes,Yes,Yes,312182.2402191162,2382.8908137928634,,
7096,6037213320,90006,2469,45.90687101,83.10640444,50.69608494,6.189981902,71.99751089,31.2,81.4730448,54.3,99.71579375,56.7,88.80653266,3.4,22.56637168,24.6,79.06210393,71.49463566,7.416317485,82.08522441,11.4216,72.4585,16.1199,64.5606,1.3366,2.5111,0,31.3892,0.2025,0,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037213320,Yes,Yes,Yes,314087.4387207031,2391.3254704778196,,
7099,6037221710,90007,2833,45.9472474,83.15683308,51.31878305,6.266013217,73.62787803,35.6,85.85168312,28.8,95.07375829,56.1,88.31658291,5.4,49.85684539,32,93.25728771,70.68924389,7.332772181,80.92536561,6.8479,77.3032,15.8489,66.8549,6.7067,4.6947,0,21.3908,0,0.353,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037221710,Yes,Yes,Yes,329418.6399612427,2470.4320962807537,,
7100,6037553000,90650,5033,38.434106,72.85678265,52.09530329,6.360826184,75.83074051,20.1,65.03416856,4.6,35.33631073,27.3,49.12060302,5.3,48.25611661,14.1,33.7008872,58.24899002,6.042313513,62.74583964,14.1466,73.3161,12.5373,77.9257,12.0008,1.6491,0,6.3183,0.6557,1.4504,Los Angeles,Norwalk,No,Yes,No,Yes,No,6037553000,No,No,No,1259340.0574417114,4962.731466560554,,
7101,6037293304,90710,4832,42.41978155,78.56782653,51.80734309,6.325666301,75.10889857,33.3,83.80156922,17.8,82.8393558,32.3,57.43718593,6.7,64.51067153,19.3,60.10139417,64.64683896,6.705978395,72.3903177,14.673,76.7177,8.6093,68.0671,11.0513,6.7881,0,11.0306,0,3.0629,Los Angeles,Los Angeles,No,No,Yes,Yes,No,6037293304,Yes,Yes,Yes,569373.2990341187,3027.136136362639,,
7102,6037227020,90011,3623,64.65380543,97.66767524,56.9695814,6.955974573,86.18543871,62.9,99.59503923,26.4,93.44972256,63.6,94.07035176,9.2,82.74336283,30.3,91.03929024,89.60273172,9.294715609,99.00403429,14.7668,78.3329,6.9004,96.6326,0.3864,2.5669,0,0.414,0,0,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037227020,Yes,Yes,Yes,438319.32859802246,2793.7749234373214,,
7103,6037228220,90011,4375,52.82136764,90.7211296,48.70374663,5.946717789,67.0192906,55.4,98.40546697,17.8,82.8393558,67.1,96.09296482,8.8,80.38781884,36.2,96.9581749,85.62832661,8.882440619,97.06253152,14.56,78.1943,7.2457,90.8343,0.9371,6.8114,0.1829,0,0,1.2343,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037228220,Yes,Yes,Yes,364262.2583618164,2774.2609967280296,,
7104,6037228310,90011,4523,57.61440089,94.30156329,54.78062,6.688702822,81.90416926,62.7,99.58238421,25.8,93.07078089,53.8,85.87939698,6.2,59.38313378,24.9,79.9112801,83.03750537,8.613688248,95.31013616,15.6091,78.5319,5.8589,94.2516,0.6854,4.7093,0.1105,0,0,0.2432,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037228310,Yes,Yes,Yes,545718.558517456,3430.250110138205,,
7105,6037228210,90011,4233,60.06843443,95.71356531,52.29930166,6.385734344,76.31611699,56.4,98.6332574,25.2,92.51590202,73.4,98.44221106,11.2,90.330557,37.3,97.54119138,90.68189974,9.406660408,99.29399899,16.7021,72.3364,10.9615,90.6686,0.3307,6.1658,0.9922,1.8427,0,0,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037228210,Yes,Yes,Yes,411071.9203414917,2799.452701079076,,
7106,6037228100,90011,5505,69.25528501,98.91578417,65.67286714,8.018644033,96.32856254,55.5,98.44343204,27.4,94.18053864,60.3,91.84673367,8.1,76.05413847,31.8,92.94043093,83.26013878,8.636782569,95.43620777,18.4378,75.7675,5.7947,93.5513,0,5.9219,0,0.2725,0,0.2543,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037228100,Yes,Yes,Yes,1006652.1339645386,4654.554897123377,,
7107,6037228420,90011,3304,59.03593957,95.10842158,50.7179687,6.192653904,72.05973864,58.9,99.06352822,27.1,94.0316687,72.4,98.22864322,10,86.19208745,35.8,96.73003802,91.9019687,9.533221214,99.54614221,19.9455,76.3923,3.6622,92.1005,0.4237,7.3245,0,0,0,0.1513,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037228420,Yes,Yes,Yes,277355.77559661865,2414.344068739648,,
